GPU Memory Track | 06-Jun-22-15:40:23 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 76: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

+ | 1 * Size:(450, 40)            | Memory: 0.0686 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(677, 521)           | Memory: 1.3455 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1459, 82)           | Memory: 0.4563 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(8754,)              | Memory: 0.1335 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1459, 6)            | Memory: 0.0667 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:610.2  Mb Total Allocated Memory:541.8  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(2010,)              | Memory: 0.0153 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(402,)               | Memory: 0.0030 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(402, 5)             | Memory: 0.0153 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(4062,)              | Memory: 0.0309 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1459, 6)            | Memory: 0.0667 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(741, 1)             | Memory: 0.0028 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(741, 932)           | Memory: 105.37 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(402, 932)           | Memory: 1.4292 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(741, 450)           | Memory: 101.76 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(741, 4, 450)        | Memory: 198.43 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(741,)               | Memory: 0.0113 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1459, 82)           | Memory: 0.4563 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(402, 450)           | Memory: 0.6900 M | <class 'torch.Tensor'> | torch.float32
- | 20 * Size:(2964, 450)          | Memory: 101.76 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(741, 482)           | Memory: 2.7249 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(677, 6)             | Memory: 0.0309 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1459, 450)          | Memory: 5.0090 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(677, 521)           | Memory: 1.3455 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(741, 4)             | Memory: 0.0226 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(8754,)              | Memory: 0.1335 M | <class 'torch.Tensor'> | torch.int64
- | 19 * Size:(2964,)              | Memory: 0.4296 M | <class 'torch.Tensor'> | torch.int64

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(489, 5)             | Memory: 0.0186 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(915, 450)           | Memory: 125.65 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(915, 482)           | Memory: 3.3647 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(915, 1)             | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(915, 932)           | Memory: 130.12 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2445,)              | Memory: 0.0186 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(915,)               | Memory: 0.0139 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(489,)               | Memory: 0.0037 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(489, 450)           | Memory: 0.8394 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(489, 932)           | Memory: 1.7385 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 39 * Size:(915, 4, 450)        | Memory: 245.02 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(3660, 450)          | Memory: 125.65 M | <class 'torch.Tensor'> | torch.float32
+ | 19 * Size:(3660,)              | Memory: 0.5305 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(915, 4)             | Memory: 0.0279 M | <class 'torch.Tensor'> | torch.int64
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:723.4  Mb Total Allocated Memory:623.8  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:723.4  Mb Total Allocated Memory:623.8  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(776, 6)             | Memory: 0.0355 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(776, 521)           | Memory: 1.5422 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1677, 450)          | Memory: 5.7575 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4656,)              | Memory: 0.0355 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1677, 6)            | Memory: 0.0767 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1677, 82)           | Memory: 0.5245 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(10062,)             | Memory: 0.1535 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:731.6  Mb Total Allocated Memory:642.5  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 80 * Size:(915, 450)           | Memory: 125.65 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(915, 1)             | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1677, 450)          | Memory: 5.7575 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(4656,)              | Memory: 0.0355 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1677, 6)            | Memory: 0.0767 M | <class 'torch.Tensor'> | torch.int64
- | 19 * Size:(3660,)              | Memory: 0.5305 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(10062,)             | Memory: 0.1535 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(915,)               | Memory: 0.0139 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(2445,)              | Memory: 0.0186 M | <class 'torch.Tensor'> | torch.int64
- | 39 * Size:(915, 4, 450)        | Memory: 245.02 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(915, 482)           | Memory: 3.3647 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(489,)               | Memory: 0.0037 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(489, 450)           | Memory: 0.8394 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(489, 932)           | Memory: 1.7385 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(489, 5)             | Memory: 0.0186 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(776, 6)             | Memory: 0.0355 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1677, 82)           | Memory: 0.5245 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(915, 4)             | Memory: 0.0279 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(776, 521)           | Memory: 1.5422 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(915, 932)           | Memory: 130.12 M | <class 'torch.Tensor'> | torch.float32
- | 20 * Size:(3660, 450)          | Memory: 125.65 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 1 * Size:(2000,)              | Memory: 0.0152 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(500, 932)           | Memory: 1.7776 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(937, 450)           | Memory: 128.67 M | <class 'torch.Tensor'> | torch.float32
+ | 19 * Size:(2811,)              | Memory: 0.4074 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(937, 1)             | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(500,)               | Memory: 0.0038 M | <class 'torch.Tensor'> | torch.int64
+ | 39 * Size:(937, 3, 450)        | Memory: 188.19 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(937,)               | Memory: 0.0142 M | <class 'torch.Tensor'> | torch.int64
+ | 40 * Size:(937, 932)           | Memory: 133.25 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(937, 482)           | Memory: 3.4456 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(2811, 450)          | Memory: 96.508 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(937, 3)             | Memory: 0.0214 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(500, 4)             | Memory: 0.0152 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(500, 450)           | Memory: 0.8583 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:643.5  Mb Total Allocated Memory:568.0  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:643.5  Mb Total Allocated Memory:568.0  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 2 * Size:(1625, 450)          | Memory: 5.5789 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(759, 521)           | Memory: 1.5084 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(9750,)              | Memory: 0.1487 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1625, 82)           | Memory: 0.5083 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1625, 6)            | Memory: 0.0743 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(759, 6)             | Memory: 0.0347 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(4554,)              | Memory: 0.0347 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:651.5  Mb Total Allocated Memory:585.7  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(2000,)              | Memory: 0.0152 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 19 * Size:(2811,)              | Memory: 0.4074 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(9750,)              | Memory: 0.1487 M | <class 'torch.Tensor'> | torch.int64
- | 40 * Size:(937, 932)           | Memory: 133.25 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(500, 450)           | Memory: 0.8583 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(4554,)              | Memory: 0.0347 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(500, 932)           | Memory: 1.7776 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(759, 521)           | Memory: 1.5084 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(937,)               | Memory: 0.0142 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1625, 82)           | Memory: 0.5083 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(500, 4)             | Memory: 0.0152 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1625, 6)            | Memory: 0.0743 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(1625, 450)          | Memory: 5.5789 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(500,)               | Memory: 0.0038 M | <class 'torch.Tensor'> | torch.int64
- | 39 * Size:(937, 3, 450)        | Memory: 188.19 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(937, 482)           | Memory: 3.4456 M | <class 'torch.Tensor'> | torch.float32
- | 20 * Size:(2811, 450)          | Memory: 96.508 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(937, 450)           | Memory: 128.67 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(759, 6)             | Memory: 0.0347 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(937, 1)             | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(937, 3)             | Memory: 0.0214 M | <class 'torch.Tensor'> | torch.int64

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 39 * Size:(841, 4, 450)        | Memory: 225.21 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(452, 5)             | Memory: 0.0172 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(841, 4)             | Memory: 0.0256 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(841, 482)           | Memory: 3.0926 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(452, 450)           | Memory: 0.7759 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2260,)              | Memory: 0.0172 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(841,)               | Memory: 0.0128 M | <class 'torch.Tensor'> | torch.int64
+ | 20 * Size:(3364, 450)          | Memory: 115.49 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(841, 1)             | Memory: 0.0032 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(452, 932)           | Memory: 1.6069 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(452,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
+ | 40 * Size:(841, 932)           | Memory: 119.60 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(841, 450)           | Memory: 115.49 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 19 * Size:(3364,)              | Memory: 0.4876 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:672.2  Mb Total Allocated Memory:567.3  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:672.2  Mb Total Allocated Memory:567.3  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(710, 521)           | Memory: 1.4110 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4260,)              | Memory: 0.0325 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1519, 6)            | Memory: 0.0695 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(710, 6)             | Memory: 0.0325 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(9114,)              | Memory: 0.1390 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1519, 82)           | Memory: 0.4751 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1519, 450)          | Memory: 5.2150 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:679.7  Mb Total Allocated Memory:584.3  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(452, 5)             | Memory: 0.0172 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(841, 4)             | Memory: 0.0256 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(841,)               | Memory: 0.0128 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(452,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1519, 6)            | Memory: 0.0695 M | <class 'torch.Tensor'> | torch.int64
- | 39 * Size:(841, 4, 450)        | Memory: 225.21 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(452, 450)           | Memory: 0.7759 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(710, 521)           | Memory: 1.4110 M | <class 'torch.Tensor'> | torch.float32
- | 20 * Size:(3364, 450)          | Memory: 115.49 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(841, 932)           | Memory: 119.60 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1519, 450)          | Memory: 5.2150 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(2260,)              | Memory: 0.0172 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(4260,)              | Memory: 0.0325 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(841, 1)             | Memory: 0.0032 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(452, 932)           | Memory: 1.6069 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(841, 450)           | Memory: 115.49 M | <class 'torch.Tensor'> | torch.float32
- | 19 * Size:(3364,)              | Memory: 0.4876 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(841, 482)           | Memory: 3.0926 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(710, 6)             | Memory: 0.0325 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(9114,)              | Memory: 0.1390 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1519, 82)           | Memory: 0.4751 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(925, 3, 450)        | Memory: 185.78 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(925, 1)             | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(925,)               | Memory: 0.0141 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(494, 932)           | Memory: 1.7563 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(925, 932)           | Memory: 131.54 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(925, 3)             | Memory: 0.0211 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1976,)              | Memory: 0.0150 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(925, 450)           | Memory: 127.02 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(494, 4)             | Memory: 0.0150 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(494,)               | Memory: 0.0037 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(494, 450)           | Memory: 0.8480 M | <class 'torch.Tensor'> | torch.float32
+ | 19 * Size:(2775,)              | Memory: 0.4022 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(925, 482)           | Memory: 3.4015 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(2775, 450)          | Memory: 95.272 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:636.4  Mb Total Allocated Memory:567.3  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:636.4  Mb Total Allocated Memory:567.3  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1521, 6)            | Memory: 0.0696 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(1521, 450)          | Memory: 5.2219 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(716, 6)             | Memory: 0.0327 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(716, 521)           | Memory: 1.4230 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(9126,)              | Memory: 0.1392 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(4296,)              | Memory: 0.0327 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1521, 82)           | Memory: 0.4757 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:644.0  Mb Total Allocated Memory:584.0  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(925, 1)             | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.float32
